SmallAca,MediumAca,LargeAca,SmallSoc,MediumSoc,LargeSoc
8,29,64,8,29,64
12,47,86,12,47,86
,,,16,71,98
,,,8,27,61
20,81,99,20,81,99
8,28,60,8,28,60
9,33,69,9,33,69
10,43,84,,,
,,,8,31,68
7,23,51,7,23,51
,,,8,30,68
16,66,97,16,66,97
,,,10,43,77
,,,21,82,99
,,,10,29,52
,,,7,20,44
17,70,98,,,
10,36,73,27,50,82
12,55,99,12,55,99
,,,12,56,94
,,,13,59,95
12,55,93,12,55,93
10,45,83,10,45,83
9,30,63,,,
12,53,92,,,
18,73,98,18,73,98
,,,12,53,90
12,58,94,12,58,94
13,60,94,13,60,94
,,,23,86,99
,,,11,49,87
8,28,59,8,28,59
8,24,52,8,24,52
12,46,85,12,46,85
6,11,22,6,11,22
